# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
235             	3.56326376e-03	3.11576421e-04	2.34175639e-03	7.55074408e-04	5.42558600e-04
236             	3.53146215e-03	3.01661739e-04	2.36886155e-03	7.34610766e-04	5.24321811e-04
237             	3.53047752e-03	2.92574587e-04	2.24253976e-03	7.12634616e-04	5.12789590e-04
238             	3.66619770e-03	2.82475670e-04	2.27786961e-03	6.90739650e-04	4.94327806e-04
239             	3.20248088e-03	2.76052745e-04	2.09501649e-03	6.67751985e-04	4.77053055e-04
240             	3.27563136e-03	2.65120289e-04	2.17462423e-03	6.47749558e-04	4.63971801e-04
241             	3.06054342e-03	2.61297065e-04	1.95403254e-03	6.24488151e-04	4.48206208e-04
242             	2.77648669e-03	2.49943848e-04	2.03771129e-03	6.03382085e-04	4.30160774e-04
243             	2.70307766e-03	2.46763215e-04	1.82378574e-03	5.84019818e-04	4.20873545e-04
244             	2.61784798e-03	2.36624938e-04	1.87323181e-03	5.62504294e-04	4.04666560e-04
245             	2.23782236e-03	2.32343101e-04	1.67180177e-03	5.43514907e-04	3.91198697e-04
246             	2.14127604e-03	2.22948557e-04	1.68239530e-03	5.24691455e-04	3.77626259e-04
247             	1.97652908e-03	2.17876372e-04	1.51910486e-03	5.06947648e-04	3.66371298e-04
248             	1.85897464e-03	2.09690935e-04	1.49636046e-03	4.90014942e-04	3.54266161e-04
249             	1.65346922e-03	2.02910046e-04	1.36182685e-03	4.74258580e-04	3.42783012e-04
250             	1.52517951e-03	1.95644869e-04	1.31866425e-03	4.61021107e-04	3.35158657e-04
251             	1.69310290e-03	1.88429069e-04	1.23368388e-03	4.47070151e-04	3.24336399e-04
252             	1.40948095e-03	1.80769558e-04	1.17529206e-03	4.34766688e-04	3.10097990e-04
253             	1.30188428e-03	1.73123633e-04	1.10961026e-03	4.24238059e-04	3.00879286e-04
254             	1.33390946e-03	1.66101672e-04	1.06027623e-03	4.14485156e-04	2.90547333e-04
255             	1.21011538e-03	1.58581570e-04	1.01207666e-03	4.05708142e-04	2.77005836e-04
256             	1.19282461e-03	1.51137913e-04	9.66497669e-04	3.98284039e-04	2.65382191e-04
257             	1.29987186e-03	1.44088889e-04	9.30044064e-04	3.91956110e-04	2.58566052e-04
258             	1.44749033e-03	1.37439620e-04	8.97441460e-04	3.82827086e-04	2.45072632e-04
259             	1.09790273e-03	1.30312480e-04	8.51058462e-04	3.75662442e-04	2.31740683e-04
260             	1.09885813e-03	1.23788148e-04	8.16740160e-04	3.68094024e-04	2.23119523e-04
261             	1.07905382e-03	1.17631716e-04	7.89384307e-04	3.58178902e-04	2.10439689e-04
262             	8.92609225e-04	1.11572646e-04	7.64808022e-04	3.48389292e-04	1.97669496e-04
